"userID","stimID","starttime","stoptime","users_stimuli_startstopID","enforceStatus"
"ER14121","0","2014-01-08 17:04:58","2014-01-08 17:09:07","1","none"
"ER14121","0","2014-01-08 17:05:02","2014-01-08 17:09:07","2","hard"
"ER14121","0","2014-01-08 17:06:12","2014-01-08 17:09:07","3","hard"
"ER14122","1","2014-01-08 17:12:14","2014-01-08 17:14:49","4","none"
"ER14122","1","2014-01-08 17:12:32","2014-01-08 17:14:49","5","hard"
"ER14123","1","2014-01-08 17:27:06","2014-01-08 17:29:45","6","none"
"ER14123","0","2014-01-08 17:29:46","2014-01-08 17:31:21","7","none"
"ER14124","1","2014-01-08 17:45:54","2014-01-08 17:48:53","8","none"
"ER14124","0","2014-01-08 17:49:03","2014-01-08 17:50:44","9","none"
"ER14125","1","2014-01-08 19:00:08","2014-01-08 19:02:25","10","none"
"ER14125","1","2014-01-08 19:00:17","2014-01-08 19:02:25","11","hard"
"ER14125","1","2014-01-08 19:01:13","2014-01-08 19:02:25","12","hard"
"ER14128","1","2014-01-08 19:33:05","2014-01-08 19:35:26","13","none"
"ER14128","0","2014-01-08 19:36:24","2014-01-08 19:46:43","14","none"
"ER14128","0","2014-01-08 19:44:00","2014-01-08 19:46:43","15","none"
"ER14129","1","2014-01-09 07:24:35","2014-01-09 07:26:52","16","none"
"moj103","1","2014-01-09 10:06:36","2014-01-09 10:09:14","23","none"
"moj102","1","2014-01-09 09:50:39","2014-01-09 09:53:26","22","none"
"moj101","1","2014-01-09 09:45:28","2014-01-09 09:48:34","21","none"
"moj104","1","2014-01-09 10:19:13","2014-01-09 10:22:15","24","none"
"moj104","1","2014-01-09 10:19:33","2014-01-09 10:22:15","25","hard"
"moj106","1","2014-01-09 11:13:44","2014-01-09 11:16:38","26","none"
"moj108","1","2014-01-09 11:41:41","2014-01-09 11:45:53","27","none"
"moj108","1","2014-01-09 11:42:01","2014-01-09 11:45:53","28","none"
"moj108","1","2014-01-09 11:42:27","2014-01-09 11:45:53","29","hard"
"moj109","1","2014-01-09 11:57:37","2014-01-09 11:59:03","30","none"
"moj1010","1","2014-01-09 12:08:54","2014-01-09 12:13:26","31","none"
"moj1010","1","2014-01-09 12:11:24","2014-01-09 12:13:26","32","hard"
"moj1011","1","2014-01-09 12:17:01","2014-01-09 12:20:22","33","hard"
"moj1011","1","2014-01-09 12:18:32","2014-01-09 12:20:22","34","hard"
"ER14130","2","2014-01-09 17:23:53","2014-01-09 17:23:57","35","none"
"ER14131","0","2014-01-09 17:27:06","2014-01-09 17:28:32","36","hard"
"ER14131","1","2014-01-09 17:28:45","2014-01-09 17:30:36","37","none"
"ER14134","1","2014-01-09 17:39:52","2014-01-09 17:44:27","38","hard"
"ER14134","1","2014-01-09 17:41:25","2014-01-09 17:44:27","39","hard"
"ER14134","1","2014-01-09 17:41:40","2014-01-09 17:44:27","40","hard"
"ER14134","1","2014-01-09 17:43:13","2014-01-09 17:44:27","41","hard"
"ER14136","1","2014-01-09 17:51:51","2014-01-09 17:53:44","42","hard"
"ER14136","1","2014-01-09 17:53:47","0000-00-00 00:00:00","43","hard"
"moj10","2","2014-01-09 19:59:46","0000-00-00 00:00:00","44","none"
"moj1033","2","2014-01-09 23:47:37","0000-00-00 00:00:00","45","none"
"ER14137","2","2014-01-10 08:05:59","2014-01-10 08:06:22","46","none"
"ER14137","2","2014-01-10 08:06:05","2014-01-10 08:06:22","47","hard"
"GM14001","0","2014-01-10 13:02:05","2014-01-10 13:03:22","48","none"
"GM14001","1","2014-01-10 13:03:38","2014-01-10 13:06:25","49","none"
